id,spent_at,amount,amount_minor,currency,name,category,category_code,location,comment,assignment_source,dedup_key
demo-ui-0044,2026-07-23T10:00:00Z,965.61,96561,RUB,Горчица,Продукты,GROCERIES,Пятёрочка,,import,demo:ui:44
demo-ui-0045,2026-07-22T10:00:00Z,1436.44,143644,RUB,Уксус,Продукты,GROCERIES,Магнит,,import,demo:ui:45
demo-ui-0046,2026-07-21T10:00:00Z,1907.27,190727,RUB,Специи набор,Продукты,GROCERIES,ВкусВилл,,import,demo:ui:46
demo-ui-0047,2026-07-20T10:00:00Z,2378.10,237810,RUB,Картофель,Продукты,GROCERIES,Перекрёсток,,import,demo:ui:47
demo-ui-0048,2026-07-19T10:00:00Z,428.92,42892,RUB,Морковь,Продукты,GROCERIES,Лента,,import,demo:ui:48
demo-ui-0049,2026-07-18T10:00:00Z,899.75,89975,RUB,Лук репчатый,Продукты,GROCERIES,Ашан,,import,demo:ui:49
demo-ui-0050,2026-07-17T10:00:00Z,1370.58,137058,RUB,Огурцы свежие,Продукты,GROCERIES,Дикси,,import,demo:ui:50
demo-ui-0051,2026-07-16T10:00:00Z,1841.41,184141,RUB,Помидоры сливовидные,Продукты,GROCERIES,Азбука Вкуса,,import,demo:ui:51
demo-ui-0052,2026-07-15T10:00:00Z,2312.24,231224,RUB,Капуста белокочанная,Продукты,GROCERIES,Самокат,,import,demo:ui:52
demo-ui-0053,2026-07-14T10:00:00Z,363.06,36306,RUB,Яблоки сезонные,Продукты,GROCERIES,Окей,,import,demo:ui:53
demo-ui-0054,2026-07-13T10:00:00Z,833.89,83389,RUB,Бананы,Продукты,GROCERIES,Пятерочка на Ленина,,import,demo:ui:54
demo-ui-0055,2026-07-12T10:00:00Z,1304.72,130472,RUB,Апельсины,Продукты,GROCERIES,Pyaterochka,,import,demo:ui:55
demo-ui-0056,2026-07-11T10:00:00Z,1775.55,177555,RUB,Мандарины,Продукты,GROCERIES,Пятёрочка,,import,demo:ui:56
demo-ui-0057,2026-07-10T10:00:00Z,2246.38,224638,RUB,Клубника,Продукты,GROCERIES,Магнит,,import,demo:ui:57
demo-ui-0058,2026-07-09T10:00:00Z,297.20,29720,RUB,Арбуз,Продукты,GROCERIES,ВкусВилл,,import,demo:ui:58
demo-ui-0059,2026-07-08T10:00:00Z,768.03,76803,RUB,Орехи смесь,Продукты,GROCERIES,Перекрёсток,,import,demo:ui:59
demo-ui-0060,2026-07-07T10:00:00Z,1238.86,123886,RUB,Семечки жареные,Продукты,GROCERIES,Лента,,import,demo:ui:60
demo-ui-0061,2026-07-06T10:00:00Z,1709.69,170969,RUB,Мёд цветочный,Продукты,GROCERIES,Ашан,,import,demo:ui:61
demo-ui-0062,2026-07-05T10:00:00Z,2180.52,218052,RUB,Варенье малиновое,Продукты,GROCERIES,Дикси,,import,demo:ui:62
demo-ui-0063,2026-07-04T10:00:00Z,231.34,23134,RUB,Хлопья овсяные,Продукты,GROCERIES,Азбука Вкуса,,import,demo:ui:63
demo-ui-0064,2026-07-03T10:00:00Z,702.17,70217,RUB,Мюсли,Продукты,GROCERIES,,,import,demo:ui:64
demo-ui-0065,2026-07-02T10:00:00Z,1173.00,117300,RUB,"""сухой корм""",Продукты,GROCERIES,,,import,demo:ui:65
demo-ui-0066,2026-07-01T10:00:00Z,1643.83,164383,RUB,Корм для кошек,Продукты,GROCERIES,,,import,demo:ui:66
demo-ui-0067,2026-06-30T10:00:00Z,2114.66,211466,RUB,Детское питание,Продукты,GROCERIES,,,import,demo:ui:67
demo-ui-0068,2026-06-29T10:00:00Z,165.48,16548,RUB,Смесь молочная,Продукты,GROCERIES,,,import,demo:ui:68
demo-ui-0069,2026-06-28T10:00:00Z,636.31,63631,RUB,Пельмени,Продукты,GROCERIES,,,import,demo:ui:69
demo-ui-0070,2026-06-27T10:00:00Z,1107.14,110714,RUB,Вареники с творогом,Продукты,GROCERIES,,,import,demo:ui:70
demo-ui-0071,2026-06-26T10:00:00Z,1577.97,157797,RUB,Пицца замороженная,Продукты,GROCERIES,,,import,demo:ui:71
demo-ui-0072,2026-06-25T10:00:00Z,2048.80,204880,RUB,Овощи замороженные,Продукты,GROCERIES,,,import,demo:ui:72
demo-ui-0073,2026-06-24T10:00:00Z,99.62,9962,RUB,Мороженое пломбир,Продукты,GROCERIES,,,import,demo:ui:73
demo-ui-0074,2026-06-23T10:00:00Z,570.45,57045,RUB,Торт Наполеон,Продукты,GROCERIES,,,import,demo:ui:74
demo-ui-0075,2026-06-22T10:00:00Z,1041.28,104128,RUB,Пирог с капустой,Продукты,GROCERIES,,,import,demo:ui:75
demo-ui-0076,2026-06-21T10:00:00Z,1512.11,151211,RUB,Выпечка пекарня,Продукты,GROCERIES,,,import,demo:ui:76
demo-ui-0077,2026-06-20T10:00:00Z,1982.94,198294,RUB,Тунец консервы,Продукты,GROCERIES,,,import,demo:ui:77
demo-ui-0078,2026-06-19T10:00:00Z,2453.77,245377,RUB,Горошек консервы,Продукты,GROCERIES,,,import,demo:ui:78
demo-ui-0079,2026-06-18T10:00:00Z,504.59,50459,RUB,Кукуруза консервы,Продукты,GROCERIES,,,import,demo:ui:79
demo-ui-0080,2026-06-17T10:00:00Z,975.42,97542,RUB,Фасоль варёная,Продукты,GROCERIES,,,import,demo:ui:80
demo-ui-0081,2026-06-16T10:00:00Z,1446.25,144625,RUB,Чечевица,Продукты,GROCERIES,,,import,demo:ui:81
demo-ui-0082,2026-06-15T10:00:00Z,1917.08,191708,RUB,Овсянка,Продукты,GROCERIES,,,import,demo:ui:82
demo-ui-0083,2026-06-14T10:00:00Z,2387.91,238791,RUB,Пшено,Продукты,GROCERIES,,,import,demo:ui:83
demo-ui-0084,2026-06-13T10:00:00Z,438.73,43873,RUB,Манка,Продукты,GROCERIES,,,import,demo:ui:84
demo-ui-0085,2026-06-12T10:00:00Z,909.56,90956,RUB,Кукурузная крупа,Продукты,GROCERIES,,,import,demo:ui:85
demo-ui-0086,2026-06-11T10:00:00Z,1380.39,138039,RUB,Булгур,Продукты,GROCERIES,,,import,demo:ui:86
demo-ui-0087,2026-06-10T10:00:00Z,741.00,74100,RUB,Капучино,Кафе,CAFE,Шоколадница,,import,demo:ui:87
demo-ui-0088,2026-06-09T10:00:00Z,161.82,16182,RUB,Кофе,Кафе,CAFE,Starbucks,,import,demo:ui:88
demo-ui-0089,2026-06-08T10:00:00Z,632.65,63265,RUB,Чай,Кафе,CAFE,Coffee Like,,import,demo:ui:89
demo-ui-0090,2026-06-07T10:00:00Z,1103.48,110348,RUB,Американо,Кафе,CAFE,Cofix,,import,demo:ui:90
demo-ui-0091,2026-06-06T10:00:00Z,524.30,52430,RUB,Эспрессо,Кафе,CAFE,Surf Coffee,,import,demo:ui:91
demo-ui-0092,2026-06-05T10:00:00Z,995.13,99513,RUB,Флэт уайт,Кафе,CAFE,Теремок,,import,demo:ui:92
demo-ui-0093,2026-06-04T10:00:00Z,415.95,41595,RUB,Раф,Кафе,CAFE,Бургер Кинг,,import,demo:ui:93
demo-ui-0094,2026-06-03T10:00:00Z,886.78,88678,RUB,Мокко,Кафе,CAFE,KFC,,import,demo:ui:94
demo-ui-0095,2026-06-02T10:00:00Z,307.60,30760,RUB,Глясе,Кафе,CAFE,Вкусно — и точка,,import,demo:ui:95
demo-ui-0096,2026-06-01T10:00:00Z,778.43,77843,RUB,Латте мал,Кафе,CAFE,Додо Пицца,,import,demo:ui:96
demo-ui-0097,2026-05-31T10:00:00Z,199.25,19925,RUB,Капучино большой,Кафе,CAFE,Шоколадница,,import,demo:ui:97
demo-ui-0098,2026-05-30T10:00:00Z,670.08,67008,RUB,Кофе с собой,Кафе,CAFE,Starbucks,,import,demo:ui:98
demo-ui-0099,2026-05-29T10:00:00Z,1140.91,114091,RUB,Чай зелёный,Кафе,CAFE,Coffee Like,,import,demo:ui:99
demo-ui-0100,2026-05-28T10:00:00Z,561.73,56173,RUB,Какао,Кафе,CAFE,Cofix,,import,demo:ui:100
demo-ui-0101,2026-05-27T10:00:00Z,1032.56,103256,RUB,Горячий шоколад,Кафе,CAFE,Surf Coffee,,import,demo:ui:101
demo-ui-0102,2026-05-26T10:00:00Z,453.38,45338,RUB,Лимонад домашний,Кафе,CAFE,Теремок,,import,demo:ui:102
demo-ui-0103,2026-05-25T10:00:00Z,924.21,92421,RUB,Смузи ягодный,Кафе,CAFE,Бургер Кинг,,import,demo:ui:103
demo-ui-0104,2026-05-24T10:00:00Z,345.03,34503,RUB,Фреш апельсиновый,Кафе,CAFE,KFC,,import,demo:ui:104
demo-ui-0105,2026-05-23T10:00:00Z,815.86,81586,RUB,Айс латте,Кафе,CAFE,Вкусно — и точка,,import,demo:ui:105
demo-ui-0106,2026-05-22T10:00:00Z,236.68,23668,RUB,Круассан с миндалём,Кафе,CAFE,Додо Пицца,,import,demo:ui:106
demo-ui-0107,2026-05-21T10:00:00Z,707.51,70751,RUB,Синнабон,Кафе,CAFE,Шоколадница,,import,demo:ui:107
demo-ui-0108,2026-05-20T10:00:00Z,1178.34,117834,RUB,Чизкейк классический,Кафе,CAFE,Starbucks,,import,demo:ui:108
demo-ui-0109,2026-05-19T10:00:00Z,599.16,59916,RUB,Тирамису,Кафе,CAFE,Coffee Like,,import,demo:ui:109
demo-ui-0110,2026-05-18T10:00:00Z,1069.99,106999,RUB,Брауни,Кафе,CAFE,Cofix,,import,demo:ui:110
demo-ui-0111,2026-05-17T10:00:00Z,490.81,49081,RUB,Маффин шоколадный,Кафе,CAFE,Surf Coffee,,import,demo:ui:111
demo-ui-0112,2026-05-16T10:00:00Z,961.64,96164,RUB,Пончик глазурь,Кафе,CAFE,Теремок,,import,demo:ui:112
demo-ui-0113,2026-05-15T10:00:00Z,382.46,38246,RUB,Пирожное картошка,Кафе,CAFE,Бургер Кинг,,import,demo:ui:113
demo-ui-0114,2026-05-14T10:00:00Z,853.29,85329,RUB,Десерт дня,Кафе,CAFE,KFC,,import,demo:ui:114
demo-ui-0115,2026-05-13T10:00:00Z,274.11,27411,RUB,Мороженое в кафе,Кафе,CAFE,Вкусно — и точка,,import,demo:ui:115
demo-ui-0116,2026-05-12T10:00:00Z,744.94,74494,RUB,Борщ,Кафе,CAFE,Додо Пицца,,import,demo:ui:116
demo-ui-0117,2026-05-11T10:00:00Z,165.76,16576,RUB,Суп дня,Кафе,CAFE,Шоколадница,,import,demo:ui:117
demo-ui-0118,2026-05-10T10:00:00Z,636.59,63659,RUB,Салат цезарь,Кафе,CAFE,Starbucks,,import,demo:ui:118
demo-ui-0119,2026-05-09T10:00:00Z,1107.42,110742,RUB,Паста карбонара,Кафе,CAFE,Coffee Like,,import,demo:ui:119
demo-ui-0120,2026-05-08T10:00:00Z,528.24,52824,RUB,Пицца маргарита,Кафе,CAFE,Cofix,,import,demo:ui:120
demo-ui-0121,2026-05-07T10:00:00Z,999.07,99907,RUB,Бургер классический,Кафе,CAFE,Surf Coffee,,import,demo:ui:121
demo-ui-0122,2026-05-06T10:00:00Z,419.89,41989,RUB,Чизбургер,Кафе,CAFE,Теремок,,import,demo:ui:122
demo-ui-0123,2026-05-05T10:00:00Z,890.72,89072,RUB,Картофель фри,Кафе,CAFE,Бургер Кинг,,import,demo:ui:123
demo-ui-0124,2026-05-04T10:00:00Z,311.54,31154,RUB,Наггетсы,Кафе,CAFE,KFC,,import,demo:ui:124
demo-ui-0125,2026-05-03T10:00:00Z,782.37,78237,RUB,Шаурма куриная,Кафе,CAFE,Вкусно — и точка,,import,demo:ui:125
demo-ui-0126,2026-05-02T10:00:00Z,203.19,20319,RUB,Сэндвич клаб,Кафе,CAFE,Додо Пицца,,import,demo:ui:126
demo-ui-0127,2026-05-01T10:00:00Z,674.02,67402,RUB,Панини,Кафе,CAFE,Шоколадница,,import,demo:ui:127
demo-ui-0128,2026-04-30T10:00:00Z,1144.85,114485,RUB,Тост с авокадо,Кафе,CAFE,Starbucks,,import,demo:ui:128
demo-ui-0129,2026-04-29T10:00:00Z,565.67,56567,RUB,Каша в кафе,Кафе,CAFE,Coffee Like,,import,demo:ui:129
demo-ui-0130,2026-04-28T10:00:00Z,1036.50,103650,RUB,Омлет с сыром,Кафе,CAFE,Cofix,,import,demo:ui:130
demo-ui-0131,2026-04-27T10:00:00Z,457.32,45732,RUB,Завтрак бизнес,Кафе,CAFE,Surf Coffee,,import,demo:ui:131
demo-ui-0132,2026-04-26T10:00:00Z,928.15,92815,RUB,Бизнес-ланч,Кафе,CAFE,Теремок,,import,demo:ui:132
demo-ui-0133,2026-04-25T10:00:00Z,348.97,34897,RUB,Комбо обед,Кафе,CAFE,Бургер Кинг,,import,demo:ui:133
demo-ui-0134,2026-04-24T10:00:00Z,819.80,81980,RUB,Комбо бургер,Кафе,CAFE,KFC,,import,demo:ui:134
demo-ui-0135,2026-04-23T10:00:00Z,240.62,24062,RUB,Ланч сет,Кафе,CAFE,Вкусно — и точка,,import,demo:ui:135
demo-ui-0136,2026-04-22T10:00:00Z,711.45,71145,RUB,Ролл филадельфия,Кафе,CAFE,Додо Пицца,,import,demo:ui:136
demo-ui-0137,2026-04-21T10:00:00Z,1182.28,118228,RUB,Суши сет,Кафе,CAFE,Шоколадница,,import,demo:ui:137
demo-ui-0138,2026-04-20T10:00:00Z,603.10,60310,RUB,Вок с овощами,Кафе,CAFE,Starbucks,,import,demo:ui:138
demo-ui-0139,2026-04-19T10:00:00Z,1073.93,107393,RUB,Рамен,Кафе,CAFE,Coffee Like,,import,demo:ui:139
demo-ui-0140,2026-04-18T10:00:00Z,494.75,49475,RUB,Том ям,Кафе,CAFE,Cofix,,import,demo:ui:140
demo-ui-0141,2026-04-17T10:00:00Z,965.58,96558,RUB,Поке с лососем,Кафе,CAFE,Surf Coffee,,import,demo:ui:141
demo-ui-0142,2026-04-16T10:00:00Z,386.40,38640,RUB,Боул киноа,Кафе,CAFE,Теремок,,import,demo:ui:142
demo-ui-0143,2026-04-15T10:00:00Z,857.23,85723,RUB,Кесадилья,Кафе,CAFE,Бургер Кинг,,import,demo:ui:143
demo-ui-0144,2026-04-14T10:00:00Z,278.05,27805,RUB,Тако,Кафе,CAFE,KFC,,import,demo:ui:144
demo-ui-0145,2026-04-13T10:00:00Z,748.88,74888,RUB,Фалафель,Кафе,CAFE,Вкусно — и точка,,import,demo:ui:145
demo-ui-0146,2026-04-12T10:00:00Z,169.70,16970,RUB,Пиво разливное,Кафе,CAFE,Додо Пицца,,import,demo:ui:146
demo-ui-0147,2026-04-11T10:00:00Z,640.53,64053,RUB,Вино бокал,Кафе,CAFE,Шоколадница,,import,demo:ui:147
demo-ui-0148,2026-04-10T10:00:00Z,1111.36,111136,RUB,Коктейль авторский,Кафе,CAFE,Starbucks,,import,demo:ui:148
demo-ui-0149,2026-04-09T10:00:00Z,532.18,53218,RUB,Милкшейк,Кафе,CAFE,Coffee Like,,import,demo:ui:149
demo-ui-0150,2026-04-08T10:00:00Z,1003.01,100301,RUB,Смузи боул,Кафе,CAFE,,,import,demo:ui:150
demo-ui-0151,2026-04-07T10:00:00Z,423.83,42383,RUB,Айс ти,Кафе,CAFE,,,import,demo:ui:151
demo-ui-0152,2026-04-06T10:00:00Z,894.66,89466,RUB,Матча латте,Кафе,CAFE,,,import,demo:ui:152
demo-ui-0153,2026-04-05T10:00:00Z,315.48,31548,RUB,Фраппучино,Кафе,CAFE,,,import,demo:ui:153
demo-ui-0154,2026-04-04T10:00:00Z,786.31,78631,RUB,Латте карамель,Кафе,CAFE,,,import,demo:ui:154
demo-ui-0155,2026-04-03T10:00:00Z,207.13,20713,RUB,Чай с жасмином,Кафе,CAFE,,,import,demo:ui:155
demo-ui-0156,2026-04-02T10:00:00Z,677.96,67796,RUB,Кофе по-венски,Кафе,CAFE,,,import,demo:ui:156
demo-ui-0157,2026-04-01T10:00:00Z,1148.79,114879,RUB,Эспрессо двойной,Кафе,CAFE,,,import,demo:ui:157
demo-ui-0158,2026-03-31T10:00:00Z,569.61,56961,RUB,Капучино на миндальном,Кафе,CAFE,,,import,demo:ui:158
demo-ui-0159,2026-03-30T10:00:00Z,1040.44,104044,RUB,Латте на овсяном,Кафе,CAFE,,,import,demo:ui:159
demo-ui-0160,2026-03-29T10:00:00Z,461.26,46126,RUB,Какао с маршмеллоу,Кафе,CAFE,,,import,demo:ui:160
demo-ui-0161,2026-03-28T10:00:00Z,932.09,93209,RUB,Вафля бельгийская,Кафе,CAFE,,,import,demo:ui:161
demo-ui-0162,2026-03-27T10:00:00Z,352.91,35291,RUB,Блинчики со сметаной,Кафе,CAFE,,,import,demo:ui:162
demo-ui-0163,2026-03-26T10:00:00Z,823.74,82374,RUB,Сырники,Кафе,CAFE,,,import,demo:ui:163
demo-ui-0164,2026-03-25T10:00:00Z,244.56,24456,RUB,Оладьи,Кафе,CAFE,,,import,demo:ui:164
demo-ui-0165,2026-03-24T10:00:00Z,715.39,71539,RUB,Хачапури по-аджарски,Кафе,CAFE,,,import,demo:ui:165
demo-ui-0166,2026-03-23T10:00:00Z,485.92,48592,RUB,Метро,Транспорт,TRANSPORT,Лукойл,,import,demo:ui:166
demo-ui-0167,2026-03-22T10:00:00Z,206.74,20674,RUB,Такси,Транспорт,TRANSPORT,Яндекс Go,,import,demo:ui:167
demo-ui-0168,2026-03-21T10:00:00Z,677.57,67757,RUB,Дизель,Транспорт,TRANSPORT,Метро,,import,demo:ui:168
demo-ui-0169,2026-03-20T10:00:00Z,398.39,39839,RUB,АИ-95,Транспорт,TRANSPORT,Газпромнефть,,import,demo:ui:169
demo-ui-0170,2026-03-19T10:00:00Z,119.21,11921,RUB,АИ-92,Транспорт,TRANSPORT,Роснефть,,import,demo:ui:170
demo-ui-0171,2026-03-18T10:00:00Z,590.04,59004,RUB,АИ-98,Транспорт,TRANSPORT,Ситимобил,,import,demo:ui:171
demo-ui-0172,2026-03-17T10:00:00Z,310.86,31086,RUB,Газ пропан,Транспорт,TRANSPORT,Аэроэкспресс,,import,demo:ui:172
demo-ui-0173,2026-03-16T10:00:00Z,781.69,78169,RUB,Заправка полный бак,Транспорт,TRANSPORT,РЖД,,import,demo:ui:173
demo-ui-0174,2026-03-15T10:00:00Z,502.51,50251,RUB,Мойка авто,Транспорт,TRANSPORT,Мосгортранс,,import,demo:ui:174
demo-ui-0175,2026-03-14T10:00:00Z,223.33,22333,RUB,Парковка часовая,Транспорт,TRANSPORT,Лукойл,,import,demo:ui:175
demo-ui-0176,2026-03-13T10:00:00Z,694.16,69416,RUB,Парковка сутки,Транспорт,TRANSPORT,Яндекс Go,,import,demo:ui:176
demo-ui-0177,2026-03-12T10:00:00Z,414.98,41498,RUB,Проездной месячный,Транспорт,TRANSPORT,Метро,,import,demo:ui:177
demo-ui-0178,2026-03-11T10:00:00Z,135.80,13580,RUB,Тройка пополнение,Транспорт,TRANSPORT,Газпромнефть,,import,demo:ui:178
demo-ui-0179,2026-03-10T10:00:00Z,606.63,60663,RUB,Единый билет,Транспорт,TRANSPORT,Роснефть,,import,demo:ui:179
demo-ui-0180,2026-03-09T10:00:00Z,327.45,32745,RUB,Автобус,Транспорт,TRANSPORT,Ситимобил,,import,demo:ui:180
demo-ui-0181,2026-09-04T10:00:00Z,798.28,79828,RUB,Трамвай,Транспорт,TRANSPORT,Аэроэкспресс,,import,demo:ui:181
demo-ui-0182,2026-09-03T10:00:00Z,519.10,51910,RUB,Троллейбус,Транспорт,TRANSPORT,РЖД,,import,demo:ui:182
demo-ui-0183,2026-09-02T10:00:00Z,239.92,23992,RUB,МЦК,Транспорт,TRANSPORT,Мосгортранс,,import,demo:ui:183
demo-ui-0184,2026-09-01T10:00:00Z,710.75,71075,RUB,МЦД,Транспорт,TRANSPORT,Лукойл,,import,demo:ui:184
demo-ui-0185,2026-08-31T10:00:00Z,431.57,43157,RUB,Электричка,Транспорт,TRANSPORT,Яндекс Go,,import,demo:ui:185
demo-ui-0186,2026-08-30T10:00:00Z,152.39,15239,RUB,Поезд плацкарт,Транспорт,TRANSPORT,Метро,,import,demo:ui:186
demo-ui-0187,2026-08-29T10:00:00Z,623.22,62322,RUB,Купе,Транспорт,TRANSPORT,Газпромнефть,,import,demo:ui:187
demo-ui-0188,2026-08-28T10:00:00Z,344.04,34404,RUB,Сапсан,Транспорт,TRANSPORT,Роснефть,,import,demo:ui:188
demo-ui-0189,2026-08-27T10:00:00Z,64.86,6486,RUB,Аэроэкспресс,Транспорт,TRANSPORT,Ситимобил,,import,demo:ui:189
demo-ui-0190,2026-08-26T10:00:00Z,535.69,53569,RUB,Авиабилет,Транспорт,TRANSPORT,Аэроэкспресс,,import,demo:ui:190
demo-ui-0191,2026-08-25T10:00:00Z,256.51,25651,RUB,Багаж сверх нормы,Транспорт,TRANSPORT,РЖД,,import,demo:ui:191
demo-ui-0192,2026-08-24T10:00:00Z,727.34,72734,RUB,Трансфер аэропорт,Транспорт,TRANSPORT,Мосгортранс,,import,demo:ui:192
demo-ui-0193,2026-08-23T10:00:00Z,448.16,44816,RUB,Каршеринг,Транспорт,TRANSPORT,Лукойл,,import,demo:ui:193
demo-ui-0194,2026-08-22T10:00:00Z,168.98,16898,RUB,Аренда авто сутки,Транспорт,TRANSPORT,Яндекс Go,,import,demo:ui:194
demo-ui-0195,2026-08-21T10:00:00Z,639.81,63981,RUB,Велосипед прокат,Транспорт,TRANSPORT,Метро,,import,demo:ui:195
demo-ui-0196,2026-08-20T10:00:00Z,360.63,36063,RUB,Самокат кикшеринг,Транспорт,TRANSPORT,Газпромнефть,,import,demo:ui:196
