name,location,category_code
Обещанный платёж,Yota,COMMUNICATION
Детализация счёта,МегаФон,COMMUNICATION
Смена тарифа,Ростелеком,COMMUNICATION
Новый тариф,Tele2,COMMUNICATION
Подписка на интернет,Дом.ру,COMMUNICATION
Интернет на даче,МТС,COMMUNICATION
Мобильная связь,Билайн,COMMUNICATION
Сотовая связь,Yota,COMMUNICATION
Городской телефон,МегаФон,COMMUNICATION
Междугородняя связь,Ростелеком,COMMUNICATION
IP-телефония,Tele2,COMMUNICATION
Виртуальная АТС,Дом.ру,COMMUNICATION
Домен .ru,МТС,COMMUNICATION
Хостинг сайта,Билайн,COMMUNICATION
VPS сервер,Yota,COMMUNICATION
Яндекс 360,МегаФон,COMMUNICATION
Google One,Ростелеком,COMMUNICATION
iCloud хранилище,Tele2,COMMUNICATION
Dropbox,Дом.ру,COMMUNICATION
VPN подписка,МТС,COMMUNICATION
Telegram Premium,Билайн,COMMUNICATION
WhatsApp Business,Yota,COMMUNICATION
Zoom Pro,МегаФон,COMMUNICATION
Slack,Ростелеком,COMMUNICATION
Антивирус Касперский,Tele2,COMMUNICATION
Антивирус DrWeb,,COMMUNICATION
Лицензия Windows,,COMMUNICATION
Мобильный интернет,,COMMUNICATION
Раздача интернета,,COMMUNICATION
Модем 4G,,COMMUNICATION
Роутер mesh,,COMMUNICATION
Репитер сигнала,,COMMUNICATION
eSIM,,COMMUNICATION
Номер 8800,,COMMUNICATION
Теле2 пакет,,COMMUNICATION
Yota безлимит,,COMMUNICATION
МТС тариф,,COMMUNICATION
Билайн тариф,,COMMUNICATION
МегаФон тариф,,COMMUNICATION
Цифровое ТВ,,COMMUNICATION
Интерактивное ТВ,,COMMUNICATION
Приставка Ростелеком,,COMMUNICATION
Кабельное ТВ,,COMMUNICATION
Спутниковое ТВ,,COMMUNICATION
Триколор,,COMMUNICATION
НТВ-Плюс,,COMMUNICATION
Почта корпоративная,,COMMUNICATION
Яндекс Почта бизнес,,COMMUNICATION
Почта для домена,,COMMUNICATION
Пополнение Yota,,COMMUNICATION
Пополнение Tele2,,COMMUNICATION
Сим МТС,,COMMUNICATION
Сим Билайн,,COMMUNICATION
Роутер Ростелеком,,COMMUNICATION
Подключение оптики,,COMMUNICATION
Абонплата интернет,,COMMUNICATION
Абонплата мобильная,,COMMUNICATION
Кино,Кинопарк,ENTERTAINMENT
Подписка,Ticketland,ENTERTAINMENT
Билет в кино,Steam,ENTERTAINMENT
Кино 3D,Кинопоиск,ENTERTAINMENT
IMAX,Яндекс Афиша,ENTERTAINMENT
Попкорн кино,Ozon Tickets,ENTERTAINMENT
Напиток кино,Кинопарк,ENTERTAINMENT
Театр,Ticketland,ENTERTAINMENT
Мюзикл,Steam,ENTERTAINMENT
Концерт,Кинопоиск,ENTERTAINMENT
Стендап,Яндекс Афиша,ENTERTAINMENT
Квест комната,Ozon Tickets,ENTERTAINMENT
Боулинг,Кинопарк,ENTERTAINMENT
Бильярд,Ticketland,ENTERTAINMENT
Каток,Steam,ENTERTAINMENT
Аквапарк,Кинопоиск,ENTERTAINMENT
Зоопарк,Яндекс Афиша,ENTERTAINMENT
Цирк,Ozon Tickets,ENTERTAINMENT
Парк аттракционов,Кинопарк,ENTERTAINMENT
Музей,Ticketland,ENTERTAINMENT
Выставка,Steam,ENTERTAINMENT
Галерея,Кинопоиск,ENTERTAINMENT
Экскурсия,Яндекс Афиша,ENTERTAINMENT
Тур выходного дня,Ozon Tickets,ENTERTAINMENT
Караоке,Кинопарк,ENTERTAINMENT
Кальянная,Ticketland,ENTERTAINMENT
Ночной клуб,Steam,ENTERTAINMENT
Бар развлечения,Кинопоиск,ENTERTAINMENT
Steam,Яндекс Афиша,ENTERTAINMENT
PlayStation Plus,Ozon Tickets,ENTERTAINMENT
Xbox Game Pass,Кинопарк,ENTERTAINMENT
Nintendo eShop,Ticketland,ENTERTAINMENT
Игра в Steam,Steam,ENTERTAINMENT
DLC,Кинопоиск,ENTERTAINMENT
Внутриигровая покупка,Яндекс Афиша,ENTERTAINMENT
Twitch подписка,Ozon Tickets,ENTERTAINMENT
YouTube Premium,Кинопарк,ENTERTAINMENT
Кинопоиск подписка,Ticketland,ENTERTAINMENT
Иви,Steam,ENTERTAINMENT
Okko,Кинопоиск,ENTERTAINMENT
Premier,Яндекс Афиша,ENTERTAINMENT
Wink кино,Ozon Tickets,ENTERTAINMENT
Netflix,Кинопарк,ENTERTAINMENT
Spotify,Ticketland,ENTERTAINMENT
Яндекс Музыка,,ENTERTAINMENT
Apple Music,,ENTERTAINMENT
VK Музыка,,ENTERTAINMENT
Подкасты подписка,,ENTERTAINMENT
Настольная игра,,ENTERTAINMENT
Пазл 1000,,ENTERTAINMENT
Билет на концерт,,ENTERTAINMENT
Билет на футбол,,ENTERTAINMENT
Стадион,,ENTERTAINMENT
Хоккей билет,,ENTERTAINMENT
Баскетбол билет,,ENTERTAINMENT
Билет ЦСКА,,ENTERTAINMENT
Билет Спартак,,ENTERTAINMENT
Escape room,,ENTERTAINMENT
VR арена,,ENTERTAINMENT
Компьютерный клуб,,ENTERTAINMENT
Киберспорт турнир,,ENTERTAINMENT
Пейнтбол,,ENTERTAINMENT
Лазертаг,,ENTERTAINMENT
Картинг,,ENTERTAINMENT
Стрельбище тир,,ENTERTAINMENT
Подарочный сертификат кино,,ENTERTAINMENT
Сертификат на концерт,,ENTERTAINMENT
Комикс,,ENTERTAINMENT
Манга,,ENTERTAINMENT
Фигурка коллекционная,,ENTERTAINMENT
Лего набор развлечение,,ENTERTAINMENT
Настолка,,ENTERTAINMENT
Киноклуб,,ENTERTAINMENT
Фестиваль,,ENTERTAINMENT
VK Fest,,ENTERTAINMENT
Парк Горького аттракцион,,ENTERTAINMENT
Квест с друзьями,,ENTERTAINMENT
Настолки в баре,,ENTERTAINMENT
Боулинг час,,ENTERTAINMENT
Караоке кабинка,,ENTERTAINMENT
Футболка,Zara,CLOTHING
Джинсы,H&M,CLOTHING
Рубашка,Lamoda,CLOTHING
Блузка,Uniqlo,CLOTHING
Платье,Reserved,CLOTHING
Юбка,Gloria Jeans,CLOTHING
Брюки классические,Спортмастер,CLOTHING
Шорты,Zara,CLOTHING
Худи,H&M,CLOTHING
Свитшот,Lamoda,CLOTHING
Свитер,Uniqlo,CLOTHING
Кардиган,Reserved,CLOTHING
Пиджак,Gloria Jeans,CLOTHING
Пальто,Спортмастер,CLOTHING
Пуховик,Zara,CLOTHING
Куртка демисезон,H&M,CLOTHING
Ветровка,Lamoda,CLOTHING
Плащ,Uniqlo,CLOTHING
Жилет утеплённый,Reserved,CLOTHING
Толстовка,Gloria Jeans,CLOTHING
Кроссовки,Спортмастер,CLOTHING
Туфли,Zara,CLOTHING
Ботинки,H&M,CLOTHING
Сапоги,Lamoda,CLOTHING
Босоножки,Uniqlo,CLOTHING
Кеды,Reserved,CLOTHING
Сланцы,Gloria Jeans,CLOTHING
Лоферы,Спортмастер,CLOTHING
Балетки,Zara,CLOTHING
Носки,H&M,CLOTHING
Колготки,Lamoda,CLOTHING
Трусы,Uniqlo,CLOTHING
Бюстгальтер,Reserved,CLOTHING
Пижама,Gloria Jeans,CLOTHING
Халат махровый,Спортмастер,CLOTHING
Термобельё,Zara,CLOTHING
Легинсы,H&M,CLOTHING
Тайтсы,Lamoda,CLOTHING
Купальник,Uniqlo,CLOTHING
Шапка,Reserved,CLOTHING
Шарф,Gloria Jeans,CLOTHING
Перчатки кожаные,Спортмастер,CLOTHING
Варежки,Zara,CLOTHING
Кепка,H&M,CLOTHING
Панама,Lamoda,CLOTHING
Ремень кожаный,Uniqlo,CLOTHING
Сумка через плечо,Reserved,CLOTHING
Рюкзак городской,Gloria Jeans,CLOTHING
Кошелёк,Спортмастер,CLOTHING
Очки солнцезащитные,Zara,CLOTHING
Часы наручные,H&M,CLOTHING
Серьги,Lamoda,CLOTHING
Цепочка серебро,,CLOTHING
Кольцо,,CLOTHING
Браслет,,CLOTHING
Зонт,,CLOTHING
Галстук,,CLOTHING
Бабочка,,CLOTHING
Джинсовая куртка,,CLOTHING
Кожаная куртка,,CLOTHING
Парка,,CLOTHING
Дублёнка,,CLOTHING
Шуба,,CLOTHING
Костюм классический,,CLOTHING
Смокинг,,CLOTHING
Спецодежда,,CLOTHING
Фартук рабочий,,CLOTHING
Кроссовки беговые,,CLOTHING
Форма спортивная,,CLOTHING
Кимоно,,CLOTHING
Гетры,,CLOTHING
Купальные шорты,,CLOTHING
Пляжная туника,,CLOTHING
Сарафан,,CLOTHING
Комбинезон,,CLOTHING
Боди,,CLOTHING
Подарок одежда,,CLOTHING
Джинсы skinny,,CLOTHING
Футболка oversize,,CLOTHING
Худи оверсайз,,CLOTHING
Полка,Магнит,HOME
Краска,Пятерочка на Ленина,HOME
Лампочка,Пятёрочка,HOME
Стол обеденный,Магнит,HOME
Стул,IKEA,HOME
Диван,Леруа Мерлен,HOME
Кресло,OBI,HOME
Шкаф,Hoff,HOME
Комод,Максидом,HOME
Тумба,Castorama,HOME
Кровать,IKEA,HOME
Матрас,Леруа Мерлен,HOME
Подушка,OBI,HOME
Одеяло,Hoff,HOME
Плед,Максидом,HOME
Простыня,Castorama,HOME
Пододеяльник,IKEA,HOME
Шторы,Леруа Мерлен,HOME
Карниз,OBI,HOME
Жалюзи,Hoff,HOME
Ковёр,Максидом,HOME
Коврик ванная,Castorama,HOME
Швабра,IKEA,HOME
Ведро пластиковое,Леруа Мерлен,HOME
Fairy,OBI,HOME
Domestos,Hoff,HOME
Туалетная бумага,Максидом,HOME
Бумажные полотенца,Castorama,HOME
Удлинитель,IKEA,HOME
Тройник,Леруа Мерлен,HOME
Лампа настольная,OBI,HOME
Люстра,Hoff,HOME
Бра,Максидом,HOME
Светильник потолочный,Castorama,HOME
Светодиодная лента,IKEA,HOME
Выключатель,Леруа Мерлен,HOME
Молоток,OBI,HOME
Отвёртка,Hoff,HOME
Дрель,Максидом,HOME
Перфоратор,Castorama,HOME
Шуруповёрт,IKEA,HOME
Гвозди,Леруа Мерлен,HOME
Саморезы,OBI,HOME
Дюбели,Hoff,HOME
Скотч малярный,Максидом,HOME
Изолента,Castorama,HOME
Горшок цветочный,IKEA,HOME
Грунт универсальный,Леруа Мерлен,HOME
Удобрение для цветов,OBI,HOME
Лейка,Hoff,HOME
Кашпо,Максидом,HOME
Ваза,Castorama,HOME
Фоторамка,IKEA,HOME
Картина постер,Леруа Мерлен,HOME
Зеркало настенное,OBI,HOME
Вешалка напольная,Hoff,HOME
Сковорода,,HOME
Кастрюля,,HOME
Нож кухонный,,HOME
Разделочная доска,,HOME
Тарелки набор,,HOME
Кружки набор,,HOME
Столовые приборы,,HOME
Терка,,HOME
Миксер,,HOME
Пылесос,,HOME
Утюг,,HOME
Чайник электрический,,HOME
Микроволновка,,HOME
Блендер,,HOME
Тостер,,HOME
Фен,,HOME
Увлажнитель,,HOME
Обогреватель,,HOME
Вентилятор напольный,,HOME
Ремонт смесителя,,HOME
Смеситель,,HOME
Сифон,,HOME
Унитаз,,HOME
Раковина,,HOME
Непонятная покупка,,OTHER
Сбор,Почта России,OTHER
Перевод,Сбербанк,OTHER
Комиссия банка,Госуслуги,OTHER
Комиссия банкомата,Нотариус,OTHER
Штраф ГИБДД,Почта России,OTHER
Госпошлина паспорт,Сбербанк,OTHER
Госпошлина загран,Госуслуги,OTHER
Нотариус,Нотариус,OTHER
Адвокат,Почта России,OTHER
Пожертвование,Сбербанк,OTHER
Благотворительность,Госуслуги,OTHER
Чаевые,Нотариус,OTHER
На чай официанту,Почта России,OTHER
Возврат долга,Сбербанк,OTHER
